"VV_mean_30","VH_mean_30","VV_sd_30","VH_sd_30","VV_mean_60","VH_mean_60","VV_sd_60","VH_sd_60","VV_mean_90","VH_mean_90","VV_sd_90","VH_sd_90","VV_mean_120","VH_mean_120","VV_sd_120","VH_sd_120","VV_mean_150","VH_mean_150","VV_sd_150","VH_sd_150","VV_mean_250","VH_mean_250","VV_sd_250","VH_sd_250","VV_mean_500","VH_mean_500","VV_sd_500","VH_sd_500"
-11.7090338134117,-16.9513467118908,2.7698758490262,3.32296845979207,-11.1048158223019,-16.3590635977391,2.84076698259061,2.7940650289144,-10.8089631118574,-16.595063378509,2.85533266713932,3.16617609343902,-10.303196011094,-16.3364760686404,2.99627755899473,2.97013475477003,-10.1734546362945,-16.4400977391951,3.0592996994034,3.07411785858473,-9.74597330449246,-16.1568217818403,2.86572679634547,2.84470200612753,-9.32451482798517,-15.8353548435936,3.00395933915073,2.90258149289986
-8.29892236725764,-14.6410392779483,1.60198840072199,1.53779727443737,-8.12494688587716,-13.9905635447486,1.68299862040385,2.37215951910537,-8.11817452915652,-14.1482361032823,1.81850759944971,2.38388007187565,-8.56587079101462,-14.7289927044714,2.05194524655277,2.48400515127567,-8.68412124779537,-14.9374637066411,2.27156549395878,2.44464415057181,-8.68024417514199,-14.9387313837578,2.3978621700364,2.4691115966476,-8.19178015308197,-14.7278242237267,2.58953745601879,2.54020392531397
-7.63045074705809,-14.3215373473606,1.43629104950518,2.11384481652832,-8.70258267914433,-15.7668097659746,2.50091140658771,2.40305106057657,-8.69737895377934,-15.2027801753356,2.48052084607445,2.45866596354007,-8.76171419070787,-14.6725111637907,2.48029163715139,2.42673677253789,-8.78743443459637,-14.6904642065839,2.60806074527483,2.63360382449576,-8.68482667103982,-14.7196659427868,2.58958061930353,2.63932534796369,-8.12033729858304,-14.3510063734236,2.6548826923879,2.65470740673574
-6.23389574226918,-13.6681322094599,1.33491890759747,1.61021235074031,-7.46714894795654,-14.5652115741005,1.86099479031919,2.07210783791353,-8.11258579509423,-15.0381454652961,2.53002467041171,2.54448150612984,-8.34452027447525,-14.9776597215912,2.44273089263792,2.35211151259885,-8.3109784920386,-14.7726577373087,2.27601910993642,2.29999834581429,-8.4918710331319,-14.7566976251948,2.37199853784407,2.41031971717353,-7.78539317448618,-14.0950295272339,2.83536236513926,2.79539512972679
-7.5842307870961,-14.3573163754315,1.48278066332631,1.05822577478738,-8.12618887473835,-15.0824447294664,2.25260415550719,2.32324615917803,-7.9660712617607,-15.168651448423,2.06864497878046,2.35014449298902,-8.46198884194787,-15.27023914559,2.27134225004085,2.26577949410917,-8.76419207133761,-15.2767556061774,2.34423770462575,2.21937451817969,-8.58781028378629,-15.1802219114245,2.33260447598577,2.27707690915687,-8.61881682159094,-14.9938844909801,2.60123355987551,2.57318624406373
-7.68852722326847,-15.8350190183769,1.41812214925578,2.21325973306911,-7.98971256684358,-14.8934916977234,1.39641299443109,2.1822170322307,-7.72947715352921,-14.1908598936583,2.14231282509748,2.54892057953883,-7.63723018738869,-13.9992878008793,2.33137136729879,2.43339244660863,-8.0243547398515,-14.2213960473351,2.39920103430323,2.32640501545999,-8.47543346080563,-14.9659911505716,2.58657727641027,2.67641776940242,-8.82642553991713,-15.2013945588934,2.65356067861826,2.66239578241719
-5.79311562590124,-10.6613908396263,1.56124236160585,2.48881196937625,-6.57880805408823,-12.9906947305124,1.82895080856265,2.40940478110509,-7.58455623281011,-14.1240316763157,2.34585271513708,2.61461649014325,-8.17898285520686,-14.6087547058688,2.39030760749451,2.47896629906103,-8.21086454188699,-14.84844093262,2.57916028427847,2.43092638516734,-8.33495671024171,-15.0741528437176,2.69482744665473,2.73500758566712,-8.72674860086833,-15.1536629237671,2.71899172659214,2.7361876420381
-8.48762304375243,-15.1188297769781,1.69597112457601,2.05653576412543,-9.43809112639523,-16.5174085492791,2.41466093459517,2.47367589208718,-9.05141333961646,-16.0928982638637,2.58513542719511,2.60790324064305,-8.28678002837336,-15.1613780920055,2.53461240010636,2.65717552764586,-7.87068140751994,-14.795831672988,2.60958399431045,2.44641987505715,-8.17297509525493,-14.893008553191,2.60295065027428,2.46989947799387,-8.26724019061232,-14.77961723659,2.57216177651996,2.56749101911351
-7.76761953388116,-15.021036552755,1.72651876647063,1.3826559680513,-7.59172712674912,-14.5088297551124,1.77030666954489,1.78215352419172,-7.61820142731743,-14.3492103263991,2.04155584267004,1.98188519661054,-7.58671944295812,-14.3710600273442,2.25431891546546,2.05330521400508,-7.80760222627509,-14.5962777427476,2.38210625376471,2.11813749584423,-8.34060924579812,-15.1428309849547,2.55251757070439,2.48469230402917,-8.17937283429609,-14.6685985192402,2.53720590699756,2.51406005077757
-7.5443741484124,-14.1088811157182,1.95591207924148,2.45384163578336,-8.49883665000701,-14.5926712156459,2.24077931327305,2.55425960674037,-8.55079607933247,-14.5124178482606,2.48133587963796,2.48933057622101,-8.36599753683557,-14.8394063781833,2.45644040995986,2.46715650812089,-8.41347389370225,-14.9002891893714,2.56620577277639,2.4884397040921,-8.24829807870706,-14.657926487435,2.59542803211675,2.57151516418823,-8.25977040555396,-14.6995648212028,2.49135940041155,2.51079716762984
