"sp","V2","V3","V4","V5","V6","mean.auc","incidence"
"V267",NA,NA,NA,NA,NA,NA,3
"V269",0.623737373737374,0.529166666666667,0.535714285714286,0.563888888888889,0.57051282051282,0.564604007104007,29
"V270",0.568627450980392,0.581578947368421,0.483766233766234,0.338888888888889,0.538690476190476,0.502310399438882,32
"V271",0.423076923076923,0.732142857142857,NA,0.944444444444444,0.974358974358974,0.768505799755799,9
"V273",0,NA,0,0.42,NA,0.14,7
"V30",NA,NA,NA,NA,NA,NA,3
"V307",0.892857142857143,0.481481481481482,0.759259259259259,0.616666666666667,0.77536231884058,0.705125373821026,10
"V32",NA,NA,NA,NA,NA,NA,3
"V324",0.638888888888889,0.788461538461538,0.648148148148148,0.425925925925926,0.767857142857143,0.653856328856329,7
"V325",0.785714285714286,0.714285714285714,0.785714285714286,NA,NA,0.761904761904762,4
"V328",0.642857142857143,0.62962962962963,NA,NA,0.142857142857143,0.471781305114639,6
"V33",0.294871794871795,0.259259259259259,0.607142857142857,0.214285714285714,0.37037037037037,0.349185999185999,10
"V340",0.25,0.769230769230769,NA,0.553571428571429,0.314814814814815,0.471904253154253,14
"V344",NA,NA,0.275641025641026,NA,0.231481481481481,0.253561253561253,6
"V35",0.722222222222222,0.608974358974359,0.946428571428571,0.714285714285714,0.551282051282051,0.708638583638583,6
"V361",0.888888888888889,NA,0.928571428571429,NA,0.861111111111111,0.892857142857143,5
"V362",0.962962962962963,NA,0.892857142857143,NA,0.824074074074074,0.893298059964727,6
"V365",0.82,0.842592592592593,0.769230769230769,0.857142857142857,0.579710144927536,0.773735272778751,11
"V368",0.779166666666667,0.74,0.89,0.75,0.608695652173913,0.753572463768116,19
"V374",0.217948717948718,0.62,0.782051282051282,1,0.268518518518518,0.577703703703704,11
"V375",0.41,0.64,0.743589743589744,1,0.288461538461538,0.616410256410256,13
"V376",0.179487179487179,0.532051282051282,0.685185185185185,NA,0.410714285714286,0.451859483109483,7
"V377",0.12962962962963,0.638888888888889,0.857142857142857,NA,0.589285714285714,0.553736772486772,6
"V378",0.111111111111111,0.410714285714286,0.714285714285714,NA,0.517857142857143,0.438492063492063,5
"V379",0.25,0.410714285714286,0.785714285714286,NA,0.589285714285714,0.508928571428572,4
"V381",0.178571428571429,0.410714285714286,0.857142857142857,NA,0.625,0.517857142857143,4
"V387",0.178571428571429,0.375,0.821428571428571,NA,0.589285714285714,0.491071428571428,4
"V437",0.282051282051282,0.36,0.384615384615385,0.487179487179487,0.148148148148148,0.33239886039886,10
"V439",0.678571428571429,0.342592592592593,NA,0.509259259259259,0.107142857142857,0.409391534391535,7
"V441",NA,NA,NA,NA,NA,NA,3
"V444",NA,NA,NA,NA,NA,NA,3
"V445",0.555555555555556,0.625,0.425925925925926,0.37962962962963,0.527777777777778,0.502777777777778,7
"V449",0.703703703703704,NA,0.87037037037037,0.481481481481482,0.5,0.638888888888889,5
"V457",0.214285714285714,1,0.214285714285714,NA,NA,0.476190476190476,4
"V458",0.982142857142857,0.576923076923077,1,0.444444444444444,NA,0.750877594627595,6
"V462",0.326923076923077,NA,0.240740740740741,0.314814814814815,0.361111111111111,0.310897435897436,6
"V466",0.707792207792208,0.565,0.858695652173913,0.496376811594203,0.463888888888889,0.618350712089843,20
"V468",0.507246376811594,0.768518518518518,0.644927536231884,0.6,0.46,0.596138486312399,17
"V470",0.521739130434783,0.576923076923077,0.555555555555556,NA,0.553571428571429,0.551947297871211,12
"V479",0.607142857142857,NA,0.821428571428571,NA,NA,0.714285714285714,4
"V481",0.514492753623188,0.474025974025974,0.42,0.493506493506494,0.679166666666667,0.516238377564465,18
"V485",0.0185185185185185,0.0178571428571429,0.214285714285714,0.339285714285714,NA,0.147486772486772,5
"V487",NA,NA,NA,NA,NA,NA,3
"V488",0.475,0.339285714285714,0.444444444444444,0.557692307692308,0.685897435897436,0.50046398046398,7
"V490",0.583333333333333,0.212962962962963,0.0714285714285714,0.51,0.25,0.325544973544973,9
"V497",0.375,NA,0.464285714285714,NA,NA,0.419642857142857,4
"V498",0.615384615384615,0.9,0.741666666666667,0.703703703703704,0.62,0.716150997150997,13
"V50",NA,NA,0.178571428571429,0.142857142857143,NA,0.160714285714286,4
"V501",0.0178571428571429,0,NA,0,NA,0.00595238095238097,4
"V506",NA,NA,NA,NA,NA,NA,3
"V51",0.740740740740741,NA,0.535714285714286,0.425925925925926,NA,0.567460317460318,5
