"sp","Exp_Run_1","Exp_Run_2","Exp_Run_3","Exp_Run_4","Pred_Run_1","Pred_Run_2","Pred_Run_3","Pred_Run_4","Exp_MEAN","Pred_MEAN","times.hi.auc","incidence"
"V273",0.913850296989832,0.933378657020116,0.936235779854172,0.941019540522583,0.477743271221532,0.479783079239601,0.480316205533597,0.548647186147186,0.931121068596676,0.496622435535479,0,7
"V30",0.93424885559717,0.925565265640172,0.935185185185185,0.929324455541684,NA,NA,NA,NA,0.931080940491053,NA,NA,3
"V307",0.944358474656012,0.929412512055038,0.946973028204142,0.935107588250659,0.726363636363636,0.740404040404041,0.777733736515201,0.734391534391534,0.938962900791463,0.744723236918603,4,10
"V32",0.99812734082397,0.995061728395062,0.99812734082397,0.993813288944375,NA,NA,NA,NA,0.996282424746844,NA,NA,3
"V323",1,1,1,1,NA,NA,NA,NA,1,NA,NA,3
"V324",0.917744495870507,0.930595943096416,0.938019732205779,0.927558575037018,0.489772727272727,0.365976143421796,0.343685300207039,0.454951690821256,0.92847968655243,0.413596465430705,0,7
"V325",0.993333333333333,0.991525153217569,0.993208477565922,0.994181574641547,0.778162055335968,0.590909090909091,0.681818181818182,0.795454545454545,0.993062134689593,0.711585968379447,2,4
"V328",0.933363088246809,0.943092986213104,0.927686929393227,0.92439757039867,0.604545454545454,0.587301587301587,0.704004329004329,0.681673881673882,0.932135143562952,0.644381313131313,1,6
"V33",0.830540880652874,0.814443720204685,0.842197178613047,0.840903922292431,0.47738189346885,0.46259457933371,0.425440115440115,0.353008658008658,0.832021425440759,0.429606311562833,0,10
"V34",0.938701622971286,0.926869191288667,0.938021917048134,0.926643778610071,NA,NA,NA,NA,0.93255912747954,NA,NA,3
"V340",0.858502579626343,0.847906005238515,0.860368155381706,0.855273968227898,0.391280473912053,0.408171152518979,0.436810966810967,0.525357142857143,0.855512677118615,0.440404934024785,0,14
"V341",0.993639874872319,0.987827715355805,0.994023569023569,0.993112775697045,0.727272727272728,0.909090909090909,0.715909090909091,0.671936758893281,0.992150983737185,0.756052371541502,3,4
"V342",0.944490551583248,0.953979400749064,0.955447357469829,0.966385767790262,NA,0.648221343873517,0.53903162055336,0.25,0.955075769398101,0.479084321475626,NA,4
"V344",0.962685436308063,0.949079725969497,0.958805874840358,0.950701457871835,0.433609385783299,0.741071428571428,0.590151515151515,0.428643578643578,0.955318123747438,0.548368977037455,1,6
"V35",0.914588993382097,0.907820155578776,0.919231133496922,0.90884106465664,0.624785902503293,0.395734519104084,0.401585733107472,0.448277809147374,0.912620336778609,0.467595990965556,0,6
"V351",1,1,1,1,NA,NA,NA,NA,1,NA,NA,3
"V355",0.998765432098765,1,1,1,NA,NA,NA,NA,0.999691358024691,NA,NA,3
"V361",0.976686811939621,0.979443829682594,0.970992402962207,0.969139427987743,0.320781573498965,0.503364389233954,0.41501976284585,0.318181818181818,0.974065618143041,0.389336885940147,0,5
"V362",0.97085291113381,0.97162093621218,0.963855799373041,0.968886364614764,0.501411631846415,0.550077639751553,0.660507246376811,0.553391053391053,0.968804002833449,0.566346892841458,0,6
"V365",0.872989835500596,0.883102971426596,0.885407108384987,0.876776831365419,0.464575569358178,0.57707509881423,0.60968998583415,0.578448963317384,0.879569186669399,0.557447404330986,0,11
"V368",0.810990938885676,0.814264390623681,0.80376107058413,0.81773245390334,0.519323308270677,0.518475355054302,0.501385281385282,0.618245614035088,0.811687213499206,0.539357389686337,0,19
"V374",0.855065865703711,0.853591311057036,0.852748741773132,0.853602777121558,0.519761904761905,0.563751803751804,0.494968944099379,0.575930735930736,0.853752173913859,0.538603347135956,0,11
"V375",0.832196679584279,0.839458703083763,0.828558313163257,0.834171792697603,0.525009113693324,0.585079365079365,0.517027350986161,0.602516233766234,0.833596372132226,0.557408015881271,0,13
"V376",0.92637946792912,0.922283176593521,0.924588061853499,0.9229840904462,0.63481672313194,0.708658008658009,0.663843402973838,0.682711038961039,0.924058699205585,0.672507293431206,1,7
"V377",0.935061534889121,0.935798022847616,0.93040077254529,0.932903769864836,0.616872529644269,0.703733766233766,0.70175983436853,0.657467532467533,0.933541025036716,0.669958415678524,2,6
"V378",0.941319358834372,0.949526727953694,0.94414165058828,0.944976166155941,0.795454545454545,0.786796536796537,0.630446546207416,0.668831168831169,0.944990975883072,0.720382199322417,2,5
"V379",0.967568947906027,0.97059925093633,0.979531090398366,0.989912940264064,0.590909090909091,0.772727272727273,0.443181818181819,0.443181818181818,0.976903057376196,0.5625,1,4
"V381",0.967576927987742,0.97059925093633,0.979531090398366,0.99083886618999,0.590909090909091,0.795454545454546,0.443181818181819,0.431818181818181,0.977136533878107,0.565340909090909,1,4
"V386",0.986974615064502,0.988888888888889,0.994444444444444,0.989814814814815,NA,NA,NA,NA,0.990030690803163,NA,NA,3
"V387",0.967576927987742,0.971301498127341,0.979531090398366,0.99083886618999,0.590909090909091,0.772727272727273,0.443181818181819,0.431818181818181,0.97731209567586,0.559659090909091,1,4
"V404",0.972097378277153,0.958024691358025,0.968248023304203,0.964072686919129,NA,NA,NA,NA,0.965610694964628,NA,NA,3
"V408",0.990123456790124,0.998148148148148,0.99812734082397,0.992592592592593,NA,NA,NA,NA,0.994747884588709,NA,NA,3
"V437",0.855183460475458,0.869281516224061,0.872606007273888,0.86648080520462,0.477472894192002,0.485227272727273,0.348000683526999,0.445445526695527,0.865887947294506,0.43903659428545,0,10
"V439",0.947987695722259,0.954429172940296,0.960067920585162,0.948580489278164,0.651665725578769,0.411183261183261,0.572727272727273,0.632275132275132,0.95276631963147,0.566962847941109,0,7
"V441",0.987037037037037,0.99074074074074,0.991358024691358,0.988888888888889,NA,NA,NA,NA,0.989506172839506,NA,NA,3
"V444",0.97962962962963,0.981481481481482,0.982716049382716,0.97962962962963,NA,NA,NA,NA,0.980864197530864,NA,NA,3
"V445",0.934604956657884,0.932291352058794,0.939911108027036,0.934666699730764,0.696653318077803,0.686076604554865,0.512554112554112,0.497934312064747,0.935368529118619,0.598304586812882,0,7
"V446",0.964814814814815,0.968518518518519,0.960299625468165,0.968445692883895,NA,NA,NA,NA,0.965519662921348,NA,NA,3
"V449",0.999545454545455,0.998074565883555,0.995888472742405,0.99795672076571,0.734299516908212,0.804912478825522,0.559794372294372,0.728354978354979,0.997866303484281,0.706840336595771,3,5
"V451",1,1,1,1,NA,NA,NA,NA,1,NA,NA,3
"V457",0.982953599667083,0.982443820224719,0.980805243445693,0.980527418378542,0.193181818181818,0.159090909090909,0.12203557312253,0.181818181818181,0.981682520429009,0.16403162055336,0,4
"V458",0.975774541227854,0.979292874684511,0.973067540965642,0.982843956809474,0.69064558629776,0.73015873015873,0.671476671476672,0.601190476190476,0.97774472842187,0.67336786603091,1,6
"V46",0.939270356498821,0.959176029962547,0.94320987654321,0.937037037037037,NA,NA,NA,NA,0.944673325010404,NA,NA,3
"V462",0.985502580042971,0.98027385928248,0.978477332242864,0.976645525017618,0.549648268398269,0.783333333333333,0.418470418470418,0.64375,0.980224824146483,0.598800505050505,1,6
"V466",0.835276694409821,0.83264519452018,0.846469837234774,0.85036975841757,0.610701754385965,0.489645191409897,0.641900093370682,0.555074450832965,0.841190371145586,0.574330372499877,0,20
"V468",0.891039166594722,0.883422461827711,0.884202627741762,0.880201902527852,0.597460317460317,0.528143274853801,0.634004127966976,0.53615629984051,0.884716539673012,0.573941005030401,0,17
"V470",0.858688022305908,0.862320799679152,0.863171415822018,0.861594260581551,0.45847687400319,0.647055640437993,0.574285714285714,0.428057359307359,0.861443624597158,0.526968897008564,0,12
"V479",0.975147732001665,0.976424947035902,0.970228880565959,0.978377028714107,0.58201581027668,0.545454545454545,0.774703557312253,0.427371541501976,0.975044647079408,0.582386363636364,1,4
"V481",0.745508837420184,0.751137801043648,0.757808063909141,0.763811676922102,0.377098427887901,0.289439128123339,0.433770835287863,0.252227728411939,0.754566594823769,0.338134029927761,0,18
"V485",0.964155600953354,0.964749744637385,0.959180286006128,0.96865583503575,0.475649350649351,0.722222222222222,0.693181818181818,0.304347826086956,0.964185366658154,0.548850304285087,1,5
"V487",0.985101955888473,0.981481481481482,0.973866000832293,0.977694548481065,NA,NA,NA,NA,0.979535996670828,NA,NA,3
"V488",0.933794291484749,0.933680070263871,0.93550585542472,0.933431421558927,0.545279020178906,0.611174242424242,0.533008658008658,0.524350649350649,0.934102909683067,0.553453142490614,0,7
"V489",0.995033985296158,0.998148148148148,0.993799417394923,0.994423637120266,NA,NA,NA,NA,0.995351296989874,NA,NA,3
"V490",0.930034158544466,0.933449934824764,0.942998580346333,0.93152925003201,0.429199134199134,0.429448621553885,0.330454545454546,0.477575757575757,0.934502980936893,0.416669514695831,0,9
"V497",0.990423429047025,0.990007282563462,0.990144599080695,0.99295358784474,0.818181818181818,0.619565217391305,0.25,0.295454545454546,0.99088222463398,0.495800395256917,1,4
"V498",0.868783415072272,0.884479069082334,0.860993564126535,0.886856147592752,0.690244550770867,0.342984466513878,0.603130784801265,0.509307359307359,0.875278048968473,0.536416790348342,0,13
"V50",0.987858926342072,0.989976071577195,0.990901997503121,0.985314521620702,0.954545454545454,0.5,0.575098814229249,0.659090909090909,0.988512879260772,0.672183794466403,1,4
"V501",0.964076450365074,0.969215563878485,0.98081228956229,0.972729400749064,0.613636363636364,0.690711462450593,0.545454545454546,NA,0.971708426138728,0.616600790513834,NA,4
"V506",1,1,1,1,NA,NA,NA,NA,1,NA,NA,3
"V51",0.944015151515152,0.938401997503121,0.928182456588356,0.931104413957474,0.355244996549344,0.51010101010101,0.538537549407115,0.636363636363636,0.935426004891026,0.510061798105276,0,5
"V514",0.905022530351062,0.911047896796435,0.924134895770117,0.911538601735074,0.671915584415584,0.474621212121212,0.51969696969697,0.525352907961603,0.912935981163172,0.547896668548842,0,7
"V52",0.979044693185157,0.980659424569056,0.978030815784283,0.985007781647675,0.867619047619047,0.812886002886003,0.763246183640921,0.718086124401914,0.980685678796543,0.790459339636971,4,13
"V521",1,1,1,1,NA,NA,NA,NA,1,NA,NA,3
"V527",0.944444444444444,0.944444444444444,0.966611180468858,0.955555555555555,NA,NA,NA,NA,0.952763906228326,NA,NA,3
