,lon,lat,Penetratable_Canopy_Cover,height_m,Plant_Area_Index,Height_Diversity,Foliage_Clumping,Gap_probability,canopy_cover_pct,Colour
91,-10.84759759,7.733092994,0.949471951,24.86,3.502318382,3.121035576,1,0.17294547,0.825348496,red
92,-10.84729371,7.733512464,0.960170627,21.09,3.114895344,2.929951191,1,0.20999597,0.788374424,red
93,-10.8469903,7.733931912,0.984565616,17.5,2.064046144,2.733457565,1,0.355526209,0.643144369,red
94,-10.84668604,7.73435146,0.990072072,27.37,4.148866177,3.19786191,1,0.125090092,0.873105168,red
95,-10.84638555,7.734770685,0.979349494,14.23,3.659684658,2.603292704,1,0.159833178,0.838433743,red
96,-10.8460821,7.735190201,0.951179564,27.21,-9999,-9999,1,-9999,-9999,black
97,-10.84578345,7.7356093,0.990013301,14.84,3.382467031,2.528209209,1,0.183648929,0.814667165,red
98,-10.84548109,7.736028756,0.976662219,15.22,4.123296738,2.57453227,1,0.126702964,0.871495664,red
99,-10.84518281,7.736447858,0.967162907,17.95,3.373637915,2.803551912,1,0.184463128,0.813854635,red
100,-10.84488152,7.736867254,0.96952951,25.5,3.809142113,3.168065548,1,0.148301512,0.849941671,red
101,-10.84457686,7.737286977,0.940112114,12.22,2.855656862,2.392518044,1,0.239122391,0.7593081,red
102,-10.84427764,7.737706218,0.967560947,21.9,3.767112017,2.943117857,1,0.151457638,0.846792042,red
103,-10.84397705,7.738125601,0.950898767,19.54,4.68615675,2.841466904,1,0.095567606,0.902566791,red
104,-10.84367474,7.738545156,0.95113188,10.27,2.007005453,2.204577923,1,0.365833491,0.632858396,red
105,-10.84336344,7.73896555,0.97115469,22.05,2.636203766,2.908053875,1,0.266914636,0.731573224,red
106,-10.84305729,7.739385487,0.953535259,24.27,3.089711428,3.055930614,1,0.212662518,0.785713434,red
107,-10.84274886,7.739805646,0.963860154,27.11,2.87915206,3.187155008,1,0.236323982,0.762100816,red
108,-10.84244588,7.740225319,0.967171431,16.45,2.555495739,2.680966139,1,0.277929217,0.720581412,red
109,-10.8421404,7.740645233,0.9650352,27.44,3.319392681,3.116829634,1,0.189545378,0.808782935,red
110,-10.84183981,7.741064711,0.94940275,23.59,3.768635511,3.077829838,1,0.151342094,0.846907437,red
111,-10.84153357,7.741484717,0.968258262,34.95,-9999,-9999,1,-9999,-9999,black
112,-10.8412316,7.741904342,0.971023381,24.6,3.126434326,3.070640564,1,0.20878543,0.78958261,red
113,-10.84093593,7.742323401,0.953041792,11.63,2.881855965,2.317837477,1,0.236004069,0.762420118,red
114,-10.84064553,7.742741983,0.914551616,7.21,0.793419778,1.893950105,1,0.671977878,0.32734552,red
115,-10.8403405,7.743161915,0.922293127,7.4,0.458731204,1.920353055,1,0.794660985,0.204915479,red
116,-10.84003671,7.743581739,0.80614239,5.03,0.094721682,1.693519115,1,0.953649819,0.046254568,red
117,-10.83973097,7.744001745,0.859041631,10.17,1.646740794,2.16028142,1,0.438203365,0.560637891,red
118,-10.839426,7.744421687,0.902315617,11.96,1.706327319,2.477087736,1,0.425314248,0.573500454,red
119,-10.83912073,7.744841657,0.949974418,13.76,2.99946332,2.480977058,1,0.222499326,0.775897086,red
120,-10.83881046,7.745262087,0.988423347,22.65,3.422847986,2.576492786,1,0.179970711,0.818337977,red
121,-10.83851403,7.745681251,0.934005201,6.76,0.385106832,1.891106248,1,0.824522078,0.175116017,red
122,-10.83820615,7.746101461,0.838627458,17.45,1.894128084,2.690007687,1,0.387119681,0.611616254,red
123,-10.83790863,7.746520721,0.895715594,9.56,1.243587494,2.226599932,1,0.536290765,0.462752879,red
124,-10.83760784,7.746940278,0.990416288,8.14,0.595931768,1.993109822,1,0.741869688,0.257597923,red
125,-10.83730097,7.747360387,0.934472919,18.2,4.295910358,2.534018755,1,0.116205595,0.881971657,red
126,-10.83700137,7.747779823,0.826347947,8.06,0.365038872,2.071677923,1,0.832854211,0.166801035,red
127,-10.8366999,7.748199425,0.830964625,5.26,0.208559185,1.740304589,1,0.900779188,0.09901616,red
128,-10.83639408,7.748619416,0.868825853,5.71,0.496188343,1.634244561,1,0.779886484,0.219659552,red
129,-10.83608818,7.749039406,0.866366088,5.63,0.279708296,1.732557297,1,0.869233787,0.130496547,red
130,-10.83577958,7.749459633,0.943092227,11.39,1.210919738,2.389556408,1,0.545140803,0.453921109,red
131,-10.83547708,7.74987929,0.946254432,9.93,0.86284852,2.252055883,1,0.64900434,0.350271761,red
132,-10.83518115,7.750298332,0.882129848,7.92,1.344522238,2.05962038,1,0.509844005,0.4891451,red
133,-10.83487286,7.750718492,0.854739487,3.92,0.020290747,0.636514187,1,0.989885151,0.010093977,red
134,-10.83457146,7.751138006,0.84306699,5.19,0.425907344,1.621166706,1,0.807837963,0.191765726,red
135,-10.83426571,7.751557901,0.956452072,6.34,0.820368826,1.777695179,1,0.662965655,0.336339265,red
136,-10.83396589,7.751977237,0.937170923,6.19,0.359052896,1.91919446,1,0.835355878,0.164304584,red
137,-10.83366194,7.752396932,0.933368504,16.19,2.133433342,2.686416864,1,0.343378782,0.65526706,red
138,-10.83336176,7.752816262,0.95077467,12.52,1.781795621,2.386901379,1,0.409532517,0.58924973,red
139,-10.8330627,7.753235473,0.764551699,5.94,0.282301843,1.723068118,1,0.868104994,0.131623,red
140,-10.83275836,7.753655147,0.955449343,8.44,1.021603227,2.118160486,1,0.599381328,0.399792463,red
141,-10.83245351,7.754074852,0.943987072,7.84,2.026880741,1.930398703,1,0.362208694,0.63647598,red
142,-10.83214816,7.754494585,0.915915251,6.61,0.462408841,1.847777486,1,0.793198168,0.206375375,red
143,-10.8318411,7.754914459,0.955039382,11.25,0.923736811,2.367233753,1,0.629504085,0.369731814,red
144,-10.83153535,7.755334199,0.978561461,19.32,4.13833189,2.867290735,1,0.125752181,0.872444868,red
145,-10.83123386,7.755753534,0.94492209,12.71,2.626499653,2.483033419,1,0.268215686,0.730275154,red
146,-10.83093067,7.756173059,0.961701632,16.11,4.218244076,2.696594715,1,0.120816715,0.877370179,red
147,-10.83063154,7.756592247,0.860588849,12.81,1.06749773,2.529280901,1,0.585756063,0.413389653,red
148,-10.83033099,7.757011554,0.847161055,12.89,0.499557346,2.546225071,1,0.778571188,0.220972165,red
149,-10.83003617,7.757430324,0.828199863,4.44,0.075757496,1.528734684,1,0.962754309,0.037168875,red
150,-10.82973408,7.757849749,0.736718774,3.17,0.019268904,0.685932338,1,0.990392089,0.009588093,red
151,-10.82942546,7.758269762,0.945223331,12.26,0.562167287,2.505638123,1,0.754526794,0.244966984,red
152,-10.82912505,7.758689014,0.925985873,9.68,1.006253362,2.20734787,1,0.604008853,0.395174503,red
153,-10.82881923,7.759108752,0.796227813,4.07,0.038373668,1.564253092,1,0.98095715,0.019003563,red
154,-10.82850619,7.759529144,0.935305893,9.72,1.825607896,2.157355547,1,0.400640666,0.598123252,red
155,-10.82819474,7.759949384,0.962285995,15.14,4.785112858,2.528276443,1,0.090944976,0.907180309,red
156,-10.82789435,7.760368606,0.925586462,6.88,0.358813882,1.900036216,1,0.835455894,0.164204746,red
157,-10.82759429,7.760787792,0.811021984,4.17,0.013388377,0.77273488,1,0.993314445,0.006671786,red
158,-10.82728959,7.761207397,0.940395355,8.75,0.98440063,2.046041012,1,0.610658467,0.388538599,red
159,-10.8269854,7.761626951,0.876737416,9.11,0.776482582,2.127515793,1,0.677704751,0.321630627,red
160,-10.82668197,7.762046433,0.946707428,10.05,2.720968008,2.179076433,1,0.25581637,0.742648959,red
161,-10.82638038,7.762465744,0.928655624,5.38,0.234850988,1.70021069,1,0.888990998,0.11078006,red
162,-10.82608143,7.762884811,0.809395611,7.03,0.423414648,1.953467607,1,0.808847547,0.190758243,red
163,-10.82578314,7.763303813,0.942346513,5.19,0.041276734,1.716844916,1,0.979531348,0.020426419,red
164,-10.82548448,7.763722844,0.949246049,7.76,0.486470819,2.092140675,1,0.783692896,0.215861037,red
165,-10.82518496,7.764141944,0.957145751,4.21,0.141824841,1.451167703,1,0.931406975,0.068451576,red
166,-10.82487151,7.764562309,0.950418591,20.6,2.834899664,2.81867218,1,0.241622463,0.756813645,red
167,-10.82456812,7.76498174,0.943350077,14.94,1.515792847,2.605646133,1,0.46791783,0.530984938,red
168,-10.82426506,7.765401126,0.929885268,19.67,1.803928256,2.917341709,1,0.405016333,0.593756795,red
169,-10.82396215,7.765820481,0.948574007,17.45,1.202884078,2.707274199,1,0.547340155,0.451726407,red
170,-10.82365651,7.766240068,0.9527632,18.65,3.978810549,2.770708799,1,0.136215642,0.862003148,red
171,-10.86595589,7.697872785,0.988768399,22.54,4.132414341,3.068615198,1,0.126154408,0.872139752,red
172,-10.86565443,7.69829291,0.944267869,29.02,4.49972868,3.314830542,1,0.104950659,0.893302083,red
173,-10.86535194,7.698713152,0.967083991,27.7,5.205977917,3.205562592,1,0.073675849,0.924515843,red
174,-10.86505092,7.699133263,0.973239899,31.07,3.878183365,3.286511421,1,0.143290028,0.85503751,red
