,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,band
lsat_MSAVI_mean_30m_glcm_mean,-0.167190546,-0.194922659,0.123498119,0.026341044,-0.043703826,0.014501077,-0.099253703,0.041466763,0.103411681,-0.015219858,lsat_MSAVI_mean_30m_glcm_mean
lsat_MSAVI_mean_30m_glcm_contrast,0.149254636,-0.107912171,-0.098919829,-0.074382794,-0.109395185,0.089051668,0.012199166,-0.030713636,-0.028808085,0.021748553,lsat_MSAVI_mean_30m_glcm_contrast
lsat_MSAVI_mean_30m_glcm_entropy,0.073437267,-0.172626172,-0.166109208,0.084172046,0.0366667,-0.012505312,0.023720443,-0.022068773,-0.108084396,-0.02310376,lsat_MSAVI_mean_30m_glcm_entropy
lsat_MSAVI_SD_30m_glcm_mean,0.161207915,-0.004670315,0.061985251,0.036712553,-0.028456868,0.21440654,-0.02346548,-0.002037846,0.049093314,-0.050651954,lsat_MSAVI_SD_30m_glcm_mean
lsat_MSAVI_SD_30m_glcm_contrast,0.108271591,-0.044807269,0.034292388,-0.182049363,-0.235036004,-0.000474493,0.015920034,-0.04081124,-0.077636239,-0.02787928,lsat_MSAVI_SD_30m_glcm_contrast
lsat_MSAVI_SD_30m_glcm_entropy,0.00995706,0.110218856,0.177968891,-0.122890632,-0.205661161,0.014772677,-0.091863785,0.041091388,0.009292321,0.015746583,lsat_MSAVI_SD_30m_glcm_entropy
lsat_NDII5_mean_30m_glcm_mean,-0.198571215,-0.128525907,0.11443093,0.066403087,-0.04939792,0.127614915,0.088503329,-0.070197196,0.007845308,-0.089400304,lsat_NDII5_mean_30m_glcm_mean
lsat_NDII5_mean_30m_glcm_contrast,0.148588041,-0.058027471,-0.057750689,-0.040936067,-0.030289094,0.058076272,-0.012652379,-0.03955916,0.087607584,-0.041367056,lsat_NDII5_mean_30m_glcm_contrast
lsat_NDII5_mean_30m_glcm_entropy,0.110700988,-0.099482621,-0.119391155,-0.049515844,0.066991122,0.017074897,-0.152086691,0.013667704,0.092972789,-0.118467862,lsat_NDII5_mean_30m_glcm_entropy
lsat_NDII5_SD_30m_glcm_mean,0.172330068,-0.00856528,0.01787837,0.018335514,0.045685706,0.093148699,-0.091702078,-0.081672168,0.052415485,-0.096600679,lsat_NDII5_SD_30m_glcm_mean
lsat_NDII5_SD_30m_glcm_contrast,0.107570958,-0.097378568,0.03842982,-0.053111874,-0.13640871,-0.067889271,0.098023983,-0.20707899,0.085580457,0.011275795,lsat_NDII5_SD_30m_glcm_contrast
lsat_NDII5_SD_30m_glcm_entropy,-0.006695278,-0.036102844,0.064460507,0.161165152,-0.145377868,-0.247440625,-0.087544785,-0.288944632,0.00886559,0.241002554,lsat_NDII5_SD_30m_glcm_entropy
lsat_NDII7_mean_30m_glcm_mean,-0.189798018,-0.164094629,0.126931511,0.036992708,-0.03490691,0.093997267,0.040066987,-0.030215597,0.018796428,-0.064115987,lsat_NDII7_mean_30m_glcm_mean
lsat_NDII7_mean_30m_glcm_contrast,0.156930802,-0.071520978,-0.077399793,-0.044711184,-0.057907291,0.041103395,-0.004648267,-0.025949918,0.058691968,-0.013878256,lsat_NDII7_mean_30m_glcm_contrast
lsat_NDII7_mean_30m_glcm_entropy,0.107860991,-0.10349012,-0.169379526,0.017293859,0.044976674,0.034961348,-0.087656026,0.033594281,0.086218933,-0.039925282,lsat_NDII7_mean_30m_glcm_entropy
lsat_NDII7_SD_30m_glcm_mean,0.176538379,0.01184714,0.032380379,0.020200749,0.008389731,0.122978483,-0.109516767,-0.050690166,0.047744874,-0.104428731,lsat_NDII7_SD_30m_glcm_mean
lsat_NDII7_SD_30m_glcm_contrast,0.078558872,-0.12753392,0.011311901,-0.042011476,-0.16273197,-0.165643055,0.064792491,-0.208776518,-0.01971583,-0.027148764,lsat_NDII7_SD_30m_glcm_contrast
lsat_NDII7_SD_30m_glcm_entropy,-0.011620528,-0.006702325,0.161935407,-0.013903889,-0.167671055,-0.209025893,-0.260178036,-0.102447053,-0.040514866,-0.062512019,lsat_NDII7_SD_30m_glcm_entropy
lsat_NDVI_mean_30m_glcm_mean,-0.162981372,-0.193205248,0.118630481,0.025810812,-0.038603467,0.018369958,-0.112110958,0.0437099,0.114689272,-0.017988765,lsat_NDVI_mean_30m_glcm_mean
lsat_NDVI_mean_30m_glcm_contrast,0.123453933,-0.126506261,-0.090462823,-0.06204314,-0.12456406,0.091917684,-0.019388961,0.015023287,0.026575677,-0.025253326,lsat_NDVI_mean_30m_glcm_contrast
lsat_NDVI_mean_30m_glcm_entropy,0.054736413,-0.186333071,-0.123608873,0.164216805,0.00966325,0.001357999,-0.045896845,-0.018353083,-0.017590612,-0.095645549,lsat_NDVI_mean_30m_glcm_entropy
lsat_NDVI_SD_30m_glcm_mean,0.14810084,-0.019616953,0.059401064,0.040243073,-0.049109226,0.211101234,-0.013824096,0.018702393,0.058086697,-0.090084655,lsat_NDVI_SD_30m_glcm_mean
lsat_NDVI_SD_30m_glcm_contrast,0.094853728,-0.060226661,0.031560816,-0.162324581,-0.241066339,-0.015699985,0.051769156,-0.007303048,-0.07172989,-0.016612997,lsat_NDVI_SD_30m_glcm_contrast
lsat_NDVI_SD_30m_glcm_entropy,0.033737773,0.128820928,0.201536553,-0.157766414,-0.161212584,0.147141289,-0.016444055,0.04344749,-0.008966385,0.057291008,lsat_NDVI_SD_30m_glcm_entropy
lsat_NBR_mean_30m_glcm_mean,-0.198571215,-0.128525907,0.11443093,0.066403087,-0.04939792,0.127614915,0.088503329,-0.070197196,0.007845308,-0.089400304,lsat_NBR_mean_30m_glcm_mean
lsat_NBR_mean_30m_glcm_contrast,0.148588041,-0.058027471,-0.057750689,-0.040936067,-0.030289094,0.058076272,-0.012652379,-0.03955916,0.087607584,-0.041367056,lsat_NBR_mean_30m_glcm_contrast
lsat_NBR_mean_30m_glcm_entropy,0.110700988,-0.099482621,-0.119391155,-0.049515844,0.066991122,0.017074897,-0.152086691,0.013667704,0.092972789,-0.118467862,lsat_NBR_mean_30m_glcm_entropy
lsat_NBR_SD_30m_glcm_mean,0.172330068,-0.00856528,0.01787837,0.018335514,0.045685706,0.093148699,-0.091702078,-0.081672168,0.052415485,-0.096600679,lsat_NBR_SD_30m_glcm_mean
lsat_NBR_SD_30m_glcm_contrast,0.107570958,-0.097378568,0.03842982,-0.053111874,-0.13640871,-0.067889271,0.098023983,-0.20707899,0.085580457,0.011275795,lsat_NBR_SD_30m_glcm_contrast
lsat_NBR_SD_30m_glcm_entropy,-0.006695278,-0.036102844,0.064460507,0.161165152,-0.145377868,-0.247440625,-0.087544785,-0.288944632,0.00886559,0.241002554,lsat_NBR_SD_30m_glcm_entropy
